"ime","plezalisce","ocena","dolzina"
?-7,Leonidio,6c,25 m
?-8,Leonidio,6b+,25 m
Proletariat,Leonidio,6b+,25 m
Bourgeoisie,Leonidio,6a,25 m
Exkalibur                         ,Leonidio,5b,20 m
Tuk-Tuk ,Leonidio,5a,20 m
Tanzmarie,Leonidio,6c+,25 m
Finding Mono,Leonidio,7a,25 m
The Kid,Leonidio,7c,20 m
Mr. Nice,Leonidio,8a,25 m
Three Billy goats gruff,Leonidio,8b,20 m
La chevre de Mr Seguin,Leonidio,8a,25 m
Pan,Leonidio,7c,20 m
Amalthee,Leonidio,7b+,22 m
ΠΩΠΩ,Leonidio,?,22 m
Capricorn,Leonidio,9a,18 m
Pantysgawn,Leonidio,?,20 m
Mikro Chioni,Leonidio,6b+,16 m
X-Mas,Leonidio,7a+,25 m
Valentynsky bozk,Leonidio,6c,20 m
Thum Thum,Leonidio,7a,20 m
Traumpaar,Leonidio,6a,20 m
Turmweg,Leonidio,6b,37 m
Eroffnung,Leonidio,6c+,35 m
Schachmatt,Leonidio,7b+,25 m
Gambit,Leonidio,7b+,25 m
"Les piliers de bar",Leonidio,7a,16 m
Bolzenfresser                ,Leonidio,6b+,32 m
Ligo ap’ ola,Leonidio,7c,22 m
Coffee Way,Leonidio,?,20 m
Mama Africa,Leonidio,7c+/8a,22 m
Edu el Recio,Leonidio,7c,30 m
Acrovatis,Leonidio,7c+,20 m
To fthino manaviko,Leonidio,8a+,20 m
Super Goofy,Leonidio,?,20 m
ΟΑΚΑ I.C.,Leonidio,8a,20 m
Paraplanisi,Leonidio,7c+,18 m
Klika,Leonidio,7c+,20 m
Reklama,Leonidio,?,20 m
Spazokefalia,Leonidio,7c/c+,20 m
The revenge of Smart,Leonidio,7a,20 m
Resumѐ,Leonidio,6c+,20 m
Coffee right,Leonidio,7c+,20 m
Symmoria,Leonidio,?,20 m
Aoplos,Leonidio,7c/c+,20 m
Kaour ekokiate,Leonidio,7a+,20 m
?-9,Leonidio,7b,20 m
?-10,Leonidio,7b+,20 m
Modistros,Leonidio,7b,30 m
Herodotus,Leonidio,6a,20 m
Garden of Adam,Leonidio,6a+,25 m
Paparouna,Leonidio,6a,25 m
Kolotouba,Leonidio,6a+,25 m
Happy time,Leonidio,5c+,20 m
B2,Leonidio,6a+,25 m
Aerostato,Leonidio,6a,25 m
Koukoutsi,Leonidio,6a,25 m
Mini fusta,Leonidio,5c+,22 m
Gova,Leonidio,5c,22 m
Tsibouki,Leonidio,5c,22 m
Rock Love,Leonidio,6a,25 m
Nirvana,Leonidio,6a+,30 m
Xiotis,Leonidio,6a+,30 m
I am a Hero,Leonidio,6a+,30 m
Don't Panik,Leonidio,6b,33 m
Politiki Kouzina,Leonidio,6b,30 m
Vlaka Tony,Leonidio,5c,30 m
F.O.S.L.,Leonidio,5c,30 m
Roling Stones,Leonidio,5b+,30 m
Jacob,Leonidio,5a,25 m
Jacob ext,Leonidio,5b+,32 m
Black Hole,Leonidio,6b+,32 m
Super Nova,Leonidio,6c+,40 m
Spiders from Mars,Leonidio,6c,35 m
Biosphäre,Leonidio,6a+,35 m
Glamour on the Rock,Leonidio,6a+,30 m
Glamour on the Rock direct,Leonidio,6b+,30 m
El Gecko,Leonidio,6c+,20 m
Yoko M-ono,Leonidio,7a,22 m
Jumanji,Leonidio,6c+,25 m
Drop city,Leonidio,7a,35 m
Snickers,Leonidio,7b+,35 m
Humidity Lesson,Leonidio,7c+,35 m
Speckschüttel Dyno,Leonidio,7c+,38 m
Boubouki,Leonidio,6b+,20 m
Boubouki xtension,Leonidio,7a+,38 m
Ποντικι στο τηρι,Leonidio,6b+,20 m
Ποντικι στο τηρι Extension,Leonidio,7b,38 m
Spaceman Spiff,Leonidio,6c,20 m
Spaceman Spiff Extension,Leonidio,7b,38 m
Mystère et boule de gomme,Leonidio,6c+,20 m
Mystere et boule de gomme L1,Leonidio,7a,20 m
Mystere et boule de gomme L2,Leonidio,7b+,35 m
Mystère et boule de gomme Extension,Leonidio,7c,35 m
Chuck Notis,Leonidio,7a+,20 m
Chuck Notis Extension,Leonidio,7c,38 m
Chuck Notis Extension #2,Leonidio,8a,52 m
Lost in  space,Leonidio,7c+,52 m
Oeil de biche,Leonidio,8a,40 m
Oeil de boeuf,Leonidio,8a,40 m
E.S.A.,Leonidio,6a+,20 m
E.S.A. Ext.,Leonidio,7c,35 m
The beast in the beauty,Leonidio,6c+,25 m
N.A.S.A.,Leonidio,7a,30 m
Voyage to Laputa,Leonidio,7a+,30 m
Micromégas,Leonidio,7a+,33 m
Gulliver's travels,Leonidio,7a,40 m
Theos Dionisos,Leonidio,7c,17 m
Kadmos,Leonidio,?,17 m
Gripas,Leonidio,7c+,20 m
Kires,Leonidio,?,20 m
Buru-buru,Leonidio,7c,17 m
Vorsprung durch Hektik   ,Leonidio,?,40 m
Dihedral del Rey,Leonidio,7b+,30 m
Om,Leonidio,7c,25 m
El Baile de Tango,Leonidio,7c,25 m
Tufa Liaison,Leonidio,6c,20 m
Le Crux,Leonidio,?,20 m
Fires of Varanasi,Leonidio,6b+,20 m
Ojo Dekoumene,Leonidio,5c,22 m
Goan Corner,Leonidio,5c,26 m
Agressionkontrolle,Leonidio,7b+,25 m
Doctor P.,Leonidio,7b,20 m
Igel,Leonidio,7c,15 m
Sonic,Leonidio,7a,15 m
Der Igel schlaegt zurueck,Leonidio,7c+,20 m
Der Igel schlaegt zurueck PRAVA,Leonidio,7c,20 m
Stelli Mantrisch,Leonidio,7b,15 m
Bat Patting,Leonidio,P,35 m
Prend ton trou,Leonidio,P,45 m
Baumklaxler  L1,Leonidio,?,15 m
Baum des Lebens  L2,Leonidio,8c+,25 m
In Memo Martin  L1,Leonidio,7a+/b,15 m
CAC L2,Leonidio,8a+,25 m
Wings for Life ,Leonidio,8b,30 m
Angi Orangi,Leonidio,6b+,15 m
Angi Orangi  L1,Leonidio,7a+,15 m
Angi Orangi L2,Leonidio,8a+,30 m
Bauschkraft 800,Leonidio,7c+,30 m
Croits Slits Shrauben Tsia,Leonidio,6a,15 m
Honich Kouchen Feat,Leonidio,6c+,12 m
Fonapropen,Leonidio,6a,8 m
Donkey Kong Junior  L1,Leonidio,8a,25 m
Donkey kong  L2,Leonidio,8b/b+,30 m
Rainbow Warrier,Leonidio,8c,25 m
K3 Climbing,Leonidio,7c+,15 m
First Class,Leonidio,8a,15 m
Bergsteigerkante L1,Leonidio,8a,10 m
Bergsteigerkante L2,Leonidio,8b+,20 m
Lai Lai,Leonidio,7a,25 m
Manyong,Leonidio,6c+,20 m
Bernie Musculus,Leonidio,8a,15 m
5S,Leonidio,6c,40 m
Kisakas,Leonidio,6b+,40 m
Nimfes,Leonidio,6a+,25 m
Karia,Leonidio,6a+,38 m
Sintza,Leonidio,6b,38 m
Don Whillans,Leonidio,6a,30 m
Training,Leonidio,2a,30 m
Sitena,Leonidio,5c,30 m
Led Zeppelin,Leonidio,5b+,30 m
Prastos,Leonidio,5c,25 m
Ligeria,Leonidio,5c,25 m
Ziva,Leonidio,5b+,25 m
I. 5,Leonidio,5c,25 m
Boro Na Speek Speek,Leonidio,5a+,25 m
Caking,Leonidio,5c,25 m
Edlinger,Leonidio,7a,25 m
Guellich,Leonidio,7a,25 m
Berhault,Leonidio,7a+,25 m
Hoch dit Been,Leonidio,7a+,34 m
Viele Wege führen nach Room,Leonidio,6c+,25 m
No Pasaran,Leonidio,7c,25 m
No Pasaran Ext,Leonidio,P,32 m
Concave,Leonidio,7b,30 m
Convex,Leonidio,7c+,30 m
Mono denos,Leonidio,7b+,30 m
Stairway to heaven,Leonidio,6c,28 m
Dutch Cupcake,Leonidio,7c,28 m
Gran Cereale,Leonidio,7c+,28 m
From Berlin to Bombay,Leonidio,7a,26 m
Blue Whale’s dick,Leonidio,8a,28 m
Blue Tufas,Leonidio,7b,23 m
Adartes,Leonidio,7b,24 m
Noah,Leonidio,6b+,24 m
Dinaki,Leonidio,6c,20 m
Lou,Leonidio,6b,20 m
Granita,Leonidio,6b,20 m
Liomeno pagoto,Leonidio,6a,25 m
Mousafiris,Leonidio,6a,25 m
Voyage to Laputa,Leonidio,7a+,30 m
Micromegas,Leonidio,7a+,33 m
Gulivers Travels,Leonidio,7a,40 m
Madri,Leonidio,6a,40 m
Vaskina,Leonidio,6b,40 m
Kosmas,Leonidio,6a+,38 m
Distomo,Leonidio,6b,40 m
GHML,Leonidio,6a,40 m
Dream Team,Leonidio,6a+,40 m
Tsonta,Leonidio,6b,40 m
Mega Pipe,Leonidio,6b,40 m
Julia Alexandratu,Leonidio,6a+,40 m
Skyfall,Leonidio,6a+,40 m
Mitropoli,Leonidio,6a+,40 m
Protimo ta glyka,Leonidio,P,30 m
El Greco,Leonidio,6a+,30 m
Michael Bachtis,Leonidio,6b,35 m
Higgs Boson,Leonidio,6c,35 m
Cern,Leonidio,7a,42 m
Kali Chronia,Leonidio,6b+,37 m
Makis,Leonidio,6c+,37 m
Petra,Leonidio,7a,37 m
Kallinikos,Leonidio,6c+,37 m
NNGH,Leonidio,7a/a+,37 m
Polar Circle,Leonidio,6c+,37 m
Rousféti,Leonidio,6b+,37 m
Tavli,Leonidio,6c,37 m
Milopita,Leonidio,6b+,37 m
Séféris,Leonidio,6b+,35 m
Amandine,Leonidio,6a+,35 m
Tsamiko,Leonidio,4c,27 m
Bakaliko,Leonidio,5b+,27 m
Akadimia,Leonidio,6b+,27 m
Rammstein in Leonidio,Leonidio,6a+,32 m
Votsalo,Leonidio,5c+,30 m
Hilti Maniac,Leonidio,5a+,32 m
Palikaria,Leonidio,5b+,28 m
Argo,Leonidio,5b+,28 m
Je Suis Charlie,Leonidio,5a+,25 m
Kopsi tu Stavru,Leonidio,7c,40 m
Monks in the Gym,Leonidio,7c (7b, 7c, 7b),80 m
Taraxippus,Leonidio,6b+,50 m
Kifinas (1.r),Leonidio,5c,25 m
Kifinas,Leonidio,6b,50 m
Je M'en Fous,Leonidio,6c,35 m
Sphingofoleas (1.r),Leonidio,7b,50 m
Sphingofoleas,Leonidio,7b,80 m
Leptospirosis,Leonidio,7c,40 m
Archgoat,Leonidio,7a,35 m
Apo Michanis Theos,Leonidio,7a,32 m
Kaur Ekokiate,Leonidio,7b,35 m
Krampus,Leonidio,8a,35 m
Folling Stones,Leonidio,?,35 m
Keks,Leonidio,5c+,15 m
Άγιος Νικόλαος,Leonidio,6a+,22 m
Goats up,Leonidio,6b+,26 m
Leonardo in Leonidio,Leonidio,7a,12 m
Mono-Ton,Leonidio,6c+,22 m
Tado,Leonidio,6a+,22 m
Hanni Bunny,Leonidio,7a+,22 m
Witch,Leonidio,5b,25 m
Witch Extension,Leonidio,6c+,40 m
Grosses Geschenk,Leonidio,7b,40 m
Dumaneska,Leonidio,5c+,22 m
Gumbo,Leonidio,5c,25 m
Bebelino,Leonidio,5c+,25 m
Hrisiktisia,Leonidio,5c,25 m
Limoncello,Leonidio,5b+,22 m
Parahorisi,Leonidio,6b+,25 m
Tsibouri,Leonidio,6a,15 m
Tsibouri Ext.,Leonidio,7a,25 m
Nanaki,Leonidio,6b,15 m
Avgi,Leonidio,6b,18 m
Agrimi,Leonidio,6b+,20 m
Cripled,Leonidio,6b+,20 m
Peripatos,Leonidio,6b,20 m
Salate,Leonidio,5c,20 m
Vromika Myala,Leonidio,7a+,25 m
Panacea,Leonidio,8a+,27 m
Jeremy,Leonidio,7c+,25 m
Chipotle,Leonidio,7c,22 m
Bonobo,Leonidio,7b+,22 m
Mr Magoo,Leonidio,7c,22 m
Mr Magoo Ext.,Leonidio,7c+,32 m
Tufandago,Leonidio,8a+,25 m
Orion,Leonidio,8b,25 m
Gravity,Leonidio,?,35 m
Morchi,Leonidio,8b,25 m
Gaidoura dura,Leonidio,8b/b+,30 m
Anelkysi,Leonidio,8a+,27 m
A pig in the roof,Leonidio,8b,23 m
Spinster,Leonidio,8b+,30 m
Stock,Leonidio,8a+,27 m
Patata Negra,Leonidio,8a+,25 m
Fata Morgana,Leonidio,8a,25 m
Bread an salt,Leonidio,7c,25 m
Psaromallis,Leonidio,6c,20 m
Raeuber Fotzenklotz,Leonidio,7c+,18 m
Autopsia,Leonidio,?,18 m
What,Leonidio,8a+/b,18 m
Tobischnobi      ,Leonidio,6b+,12 m
Manjita,Leonidio,6a,12 m
Fisica!,Leonidio,7a,12 m
Bloody Hands,Leonidio,7a+,12 m
X-mas Time,Leonidio,6c+,20 m
Pfui dann Hui!,Leonidio,6b,28 m
Just Kiss,Leonidio,6b,27 m
Just,Leonidio,6c,25 m
Bonsai,Leonidio,?,10 m
Padhofla,Leonidio,?,10 m
Projekt,Leonidio,?,10 m
Bauer Olaf,Leonidio,7b,10 m
Oil of Markus,Leonidio,?,20 m
Oil of Olaf,Leonidio,?,15 m
Tipota,Leonidio,7b+,12 m
Yellow Submarine,Leonidio,6c,40 m
Lazari,Leonidio,7a,40 m
Markaris,Leonidio,6c,35 m
Kokoletta,Leonidio,7b,35 m
Karl Marx,Leonidio,6c+,15 m
Trihes Sti Palami,Plakias,5b,17 m
Trihes Sti Palami (extension),Plakias,6a,6 m
Vandaloup,Plakias,5a+,19 m
Menios,Plakias,6a+,23 m
Eftapsichos,Plakias,6b+,23 m
Dog Man,Plakias,6b+,23 m
Dog Man (variation),Plakias,6c+,28 m
Minimalist (direct),Plakias,8a+,28 m
Minimalist,Plakias,7c+,28 m
Minotauros,Plakias,7b,28 m
Space Cake,Plakias,8a,27 m
Opios fobatai pefti kai kimatai,Plakias,7c,27 m
Fisfiri,Plakias,6b,36 m
Ariadni (1. del),Plakias,6b,20 m
Ariadni (2. del),Plakias,7a+,28 m
Tsampa Birra,Plakias,7a+,32 m
Fodele (L1),Plakias,5b+,28 m
Fodele (L2),Plakias,6a+,20 m
Kill The Doc,Plakias,6c+,27 m
Helenje,Plakias,6c,20 m
Helenje (extension),Plakias,7a,18 m
Perpatouladha,Plakias,7a+,44 m
Ahi va la Hostia,Plakias,7b+,38 m
Original,Plakias,7c+,38 m
RWN #D001,Plakias,5a,9 m
RWN #D002,Plakias,6a+,11 m
RWN #D003,Plakias,5c+,13 m
RWN #D004,Plakias,5b,13 m
RWN #D005,Plakias,6a,15 m
RWN #D006,Plakias,6a,12 m
RWN #D007,Plakias,5b+,12 m
RWN #D008,Plakias,5b,12 m
RWN #D009,Plakias,5c,12 m
RWN #D010,Plakias,5b+,14 m
RWN #D011,Plakias,5a,19 m
RWN #D012,Plakias,5c,13 m
belgiki sokolata,Plakias,5c,13 m
RWN #D013,Plakias,4c,17 m
Cima Piccola,Prophitis Andreas,6a,37 m
Philotimia,Prophitis Andreas,6b,25 m
Le Combat des Chefs,Prophitis Andreas,7a,40 m
Alyheimer,Prophitis Andreas,6b,38 m
Handle with care,Skoteino Cave,5b,9 m
Unknown,Skoteino Cave,6b,8 m
Joanna,Skoteino Cave,7a+,8 m
Baltzola,Skoteino Cave,6a+,10 m
Black mono,Skoteino Cave,7a+,10 m
Psychrolousia,Skoteino Cave,7b+,10 m
Zorba,Telendos,8a,35 m
Kava Aris,Telendos,7c+,28 m
Panagia,Telendos,7a+,26 m
Aphrodite,Telendos,6c+,25 m
Nymph,Telendos,7a,20 m
Mira Que Tinc,Telendos,7b+,20 m
Eros Telendos,Telendos,7b,35 m
Adonis Telendos,Telendos,7a+,35 m
Tremendos en Telendos,Telendos,7b,28 m
3 Ilots,Telendos,6c,32 m
Lucky Eva,Telendos,6b+,32 m
The Fight of a Woman,Telendos,6a+,40 m
Wild Country,Telendos,6a+,265 m
Wings for Life,Telendos,6a,250 m
Cuobo,Telendos,7c,15 m
Afrodite,Telendos,8c,15 m
Irox,Telendos,8a+,20 m
Marmornei,Telendos,8a+/b,20 m
Helvet-x,Telendos,6c+,30 m
Kyprios Angel,Telendos,7a,30 m
More than mode,Telendos,7b,27 m
Magma,Telendos,6b+,18 m
Xymox,Telendos,6b+,18 m
The magic circle,Telendos,6a+,18 m
Sole fish,Telendos,6a,30 m
Swordfish,Telendos,6b+,27 m
Hollenfiber,Telendos,7a+,27 m
Yorkshire pudding,Telendos,6c,27 m
28 at 40,Telendos,5c+,30 m
The white rose,Telendos,6a,20 m
Inglation,Telendos,6c,25 m
Ingleton,Telendos,6b+,25 m
Menecis,Telendos,6c,20 m
Mo An,Telendos,4c,25 m
Dionesis,Telendos,6b,26 m
Hassapiko,Telendos,6a,20 m
Evangelia,Telendos,5b,25 m
Anastazsia,Telendos,5a,25 m
Sevasti,Telendos,4b,30 m
Evdokia,Telendos,5c,20 m
Evoula,Telendos,4c,20 m
Kiriaki,Telendos,5a,20 m
Niki,Telendos,5a,20 m
Iason,Telendos,5b,20 m
Maria,Telendos,5a+,20 m
Dirty Dog,Telendos,5a,25 m
G.T.C.,Telendos,6a+,20 m
Mr Rusty,Telendos,6c,20 m
The Magic Roundabout,Telendos,6b,20 m
Lucia,Telendos,7a,20 m
Brian the Snail,Telendos,6b,20 m
Pelagia,Telendos,6b+,25 m
Vendetta,Telendos,6b,30 m
Petrula,Telendos,6a,35 m
Lucas Bad Boy,Telendos,5c,32 m
Hot Roc,Telendos,5c,32 m
Angelica Babis Bar,Telendos,6b+,30 m
Farabutto,Telendos,6c,25 m
Forza 99,Telendos,6b,25 m
Karabolas,Telendos,6a,28 m
Rita,Telendos,6a,28 m
A l'Ovest di Kaboul,Telendos,6a+,28 m
Leane,Telendos,6a+,30 m
Axel,Telendos,6a,20 m
Easy,Telendos,5b,20 m
Adios Chloe,Telendos,6c,32 m
Zoidis,Telendos,8a,25 m
Amores Perros,Telendos,7c+,25 m
Il Y Avait de Laure Dans ma Vie,Telendos,8c+,30 m
Aegena,Telendos,8a,25 m
Queen Potha,Telendos,8a+,25 m
Scooter Fun,Telendos,8a,20 m
Miltiadis,Telendos,7b,20 m
Y Viva Pancho Villa!,Telendos,7a,15 m
Aboneros el Chilli,Telendos,7b,20 m
Padelis,Telendos,7b+,20 m
Zorba's Restaurant,Telendos,7a,15 m
OTR,Telendos,7a,25 m
Tequischiapan,Telendos,7a,20 m
Plaka,Telendos,6c,18 m
Issili,Telendos,6c,18 m
Mafalda,Telendos,6b,18 m
KV Brig,Telendos,5b,15 m
D’Sezz,Telendos,5b+,20 m
Stafel,Telendos,6b,25 m
Lambda,Telendos,6a+,30 m
Lambda Capital,Telendos,7a+,50 m
Hot Chili,Telendos,5c+,25 m
Hot Chili Young Love,Telendos,6c+,40 m
Lava,Telendos,6a+,30 m
Eruption,Telendos,7a,50 m
Meiggeren,Telendos,6a,30 m
Aroleid,Telendos,5c,20 m
Progressive Rock Part 1,Telendos,6a,30 m
Progressive Rock Part 2,Telendos,6c,40 m
Progressive Rock Part 3,Telendos,7b,50 m
Dom,Telendos,6b,40 m
Fiirhelzer,Telendos,6b,30 m
Arbzug,Telendos,6b+,40 m
Gerwitscht,Telendos,6c,40 m
Chardonnay,Telendos,7a+,40 m
El Alamein,Telendos,6c,40 m
Marinelli,Telendos,4b,20 m
Hotel Simi Basement,Telendos,4c,20 m
Hotel Simi,Telendos,6b+,50 m
Schwjieschwanz,Telendos,6a,40 m
Schwjieschwanzerrected,Telendos,6b+,50 m
General,Telendos,6b,40 m
Telendos Star,Telendos,6a+,35 m
Nordend,Telendos,6a,30 m
Flauschi,Telendos,6b+,30 m
Rolfi,Telendos,6b,32 m
Hermetje,Telendos,6b,30 m
Maxim,Telendos,6a,20 m
Johan,Telendos,5b,20 m
Cresta Rey,Telendos,5a,20 m
Barbara,Telendos,5b,20 m
Isabel,Telendos,5b,20 m
Emilie,Telendos,5a,20 m
Eggen,Telendos,5b,20 m
Nuria,Telendos,5c,20 m
Ze Seewjnen,Telendos,5b+,20 m
Moutsos,Theopetra,6a+,20 m
SARS,Theopetra,6a,28 m
Smerna,Theopetra,6c+,20 m
Bora Bora,Theopetra,6a+,28 m
Menir,Theopetra,6b+,15 m
Working for the club,Voulismeno ALONI,6a+,10 m
Hobbit,Voulismeno ALONI,6c+,17 m
Demolition Man,Voulismeno ALONI,5a,15 m
Pataria,Voulismeno ALONI,5c,17 m
Koinonia Miden,Voulismeno ALONI,6a,30 m
Golden Girl,Voulismeno ALONI,6b,30 m
Skorpidaki,Voulismeno ALONI,6c+,26 m
Na Zi Kanis i Na Min Zi,Voulismeno ALONI,6b+,18 m
Fuck the Police,Voulismeno ALONI,6c,18 m
Must2riders,Voulismeno ALONI,7a+,18 m
La Familia,Voulismeno ALONI,8a,21 m
Diastrevlosi Horochronou,Voulismeno ALONI,8a+,21 m
Oscar,Voulismeno ALONI,8a+,25 m
Never Enough,Voulismeno ALONI,8c,25 m
That's Enough,Voulismeno ALONI,P,25 m
Kaipiraki,Voulismeno ALONI,7b+,26 m
Antifa,Voulismeno ALONI,7c+,27 m
Mustar,Voulismeno ALONI,8b,27 m
Lefteria Stis Katsikes,Voulismeno ALONI,8a,26 m
7c Akatevato,Voulismeno ALONI,7c,25 m
Tito Traversa,Voulismeno ALONI,7b+,28 m
Floor Manager,Voulismeno ALONI,7a+,20 m
Rosa,Voulismeno ALONI,6b+,15 m
Moca,Voulismeno ALONI,5c,9 m
;,Voulismeno ALONI,5c,8 m
Stepping stones,Voulismeno ALONI,5b,7 m
Pi,Voulismeno ALONI,4c,6 m
Fi,Voulismeno ALONI,4c,5 m
Njurgala,Antovo,5c,10 m
Kantunić,Antovo,4b,30 m
Dugi,Antovo,6c+,30 m
Falši,Antovo,6a+,20 m
Leteći,Antovo,5b,20 m
Sunčanica,Antovo,5a,20 m
Bubamara attack,Antovo,6b,10 m
?,Antovo,6b+,20 m
?,Antovo,6b+,30 m
Proljetni umor,Antovo,5b,30 m
4 sreće,Antovo,5a,10 m
Mali Filip,Antovo,5c,20 m
Biokovska zečina,Bast,6b,12 m
Modro lasinje,Bast,6a,13 m
Cjeloviti karanfil,Bast,6a,14 m
Sjajna sunčanica,Bast,6a,15 m
Biokovsko zvonce,Bast,6c,15 m
Špiljski gigantski podzemljar,Bast,7a+/b,13 m
Biokovski lažištipavci,Bast,7a+,13 m
Trčak,Bast,7b,14 m
Biokovski oštrolist,Bast,P,13 m
Papratasta mlječika,Bast,P,13 m
Buhač,Bast,7a+,15 m
Slava klisura,Bast,P,15 m
Vizijanijeva zečina,Bast,7b,13 m
Jadranska perunika,Bast,6a,12 m
Sitnoplodna gromotulja,Bast,P,11 m
Dalmatinski crni bor,Bast,5a,10 m
Srebrnasti stolisnik,Bast,6a,11 m
Tilovina,Bast,6b+,11 m
Portenshlagova zvončika,Bast,6b+,11 m
Primorski mekinjak,Bast,6a+,12 m
Vitka kockavica,Bast,5c+,11 m
Jadranska lastavina,Bast,5b+,11 m
Puzavo zvonce,Bast,4c,10 m
Puzavi lanilist,Bast,5c,10 m
Biokovska runjika,Bast,5b,11 m
Kušanova zečina,Bast,5b,11 m
Divlji koromač,Bast,5b,11 m
Crvenkasta zečina,Bast,5b,11 m
The Good,Bobanova greda,7a+,15 m
The Bad,Bobanova greda,6b,15 m
The Ugly,Bobanova greda,6b,15 m
Stani Pani,Bobanova greda,6a+,110 m
Paštafažol,Bobanova greda,6b,40 m
Baketina,Bobanova greda,6c,23 m
Dibidus,Bobanova greda,6b,23 m
Love on the rocks,Bobanova greda,6a,25 m
New life,Bobanova greda,5c,25 m
Iceman,Bobanova greda,6b+,33 m
Jeti,Bobanova greda,6c,33 m
Lipotan,Bobanova greda,6c+,25 m
Quasar,Bobanova greda,7a,80 m
Kauboji,Bobanova greda,6c+,25 m
Space race,Bobanova greda,6c+,30 m
Power and glory,Bobanova greda,7a,30 m
Running free,Bobanova greda,7a+,30 m
In my head Rakija,Bobanova greda,7b,30 m
Thor,Bobanova greda,6c,26 m
Razbibriga,Bobanova greda,6a+,24 m
Valjda neće kiša,Bobanova greda,6c,22 m
Fundać,Bobanova greda,6a+,20 m
Sundance,Bobanova greda,5b,26 m
Debrecenka,Bobanova greda,5c,24 m
Teddy,Božin kuk,6a+ (4c, 5c+, 5b, 6a+),150 m
Rigoletto,Božin kuk,5c (5c, 5b, 5b),135 m
Heraklion,Božin kuk,6a (5b, 5b+, 6a),140 m
Lazaro,Božin kuk,6a (5a, 5b+, 5a, 5a, 6a),220 m
Wild wild west,Božin kuk,6b+ (5a, 6b, 6a, 6b+, 6b),175 m
Energia 0,Božin kuk,6a+ (5b, 5b, 6a+, 6a+),165 m
Pikn zujke,Božin kuk,6c+ (4b, 5c, 6c+, 6a, 6a+),155 m
Mission impossible,Božin kuk,6c+,A0 (5c, 6b+, 6c+/A0, 6b+, 6b),160 m
Terrore,Božin kuk,5b (5b, 5b),85 m
Kurijera,Božin kuk,5b (5b, 5a),80 m
Thunderstorm,Božin kuk,6c (5b, 6a, 6c, 6a),170 m
Bacio alla nicotina,Božin kuk,6a+ (5a, 6a, 6a+, 5b+, 6a+, 2),165 m
Il Gigetto,Božin kuk,6a (6a, 5b, 5b, 5b),110 m
L'odore del mare,Božin kuk,6a+ (6a+, 6a+, 5b+),155 m
Ivanova vatra,Brač - Ložišća,6b+,11 m
Mali sokol,Brač - Ložišća,6c,11 m
Dva leptira,Brač - Ložišća,6a+,11 m
Puna kapa,Brač - Ložišća,6a+,11 m
Bodljikavo prase,Brač - Ložišća,5c,11 m
Igra,Brač - Ložišća,5a,10 m
Barka,Brač - Ložišća,5b,10 m
Tri sestrice,Brač - Ložišća,5c,10 m
Leut,Brač - Ložišća,6b,12 m
Sreca,Brač - Ložišća,6c+,12 m
Jež,Brač - Ložišća,6c,12 m
Prvi,Brač - Ložišća,6b,8 m
Koji & Yukiko,Brač - Ložišća,6a,8 m
Treći,Brač - Ložišća,5c+,9 m
Teta Nada,Brač - Ložišća,4c,12 m
Buldog,Brač - Ložišća,4b,12 m
Mali čempres,Brač - Ložišća,5b,12 m
Zavić,Brač - Ložišća,5a,12 m
Pjover,Brač - Ložišća,6a,9 m
Hud pes,Brač - Ložišća,5c,9 m
Švicu pipe,Brač - Ložišća,6c+,8 m
Pižinoto,Brač - Ložišća,6a,8 m
Straight right,Brač - Ložišća,6b+,8 m
Na kantun u Mikija,Brač - Ložišća,6a,9 m
Pivo u Palme,Brač - Ložišća,6a,9 m
Kava u Marine,Brač - Ložišća,6b+,8 m
Pizza u Braceri,Brač - Ložišća,6b,8 m
br.1,Brač - Ložišća,5c,13 m
br.2,Brač - Ložišća,5c,13 m
br.3,Brač - Ložišća,5c,14 m
br.4,Brač - Ložišća,5c,14 m
br.5,Brač - Ložišća,4c,15 m
br.6,Brač - Ložišća,4a,15 m
br.7,Brač - Ložišća,4c,15 m
br.8,Brač - Ložišća,6b,14 m
br.9,Brač - Ložišća,6b,14 m
br.10,Brač - Ložišća,6b,14 m
Kantun Ložišca,Brač - Ložišća,5c,10 m
no.2,Brač - Ložišća,5a,11 m
no.3,Brač - Ložišća,5b,10 m
no.4,Brač - Ložišća,5b,10 m
Kvalitetna zajebancija,Brač - Ložišća,4a,10 m
Moća popit piće,Brač - Ložišća,4a,10 m
Mali štumak,Brač - Ložišća,4b,10 m
Mravi me grizu,Brač - Ložišća,4c,9 m
Pjover,Brač - Ložišća,5b,8 m
Mali tovar,Brač - Ložišća,4c,8 m
Sarači,Brač - Ložišća,6a,13 m
Alfaković,Brač - Ložišća,4c,11 m
Orlovac,Brač - Ložišća,5b,11 m
Kerov,Brač - Ložišća,5c+,11 m
Jutronicev,Brač - Ložišća,5c,11 m
Meteora,Brač - Ložišća,5a,13 m
Brid za Unu,Brač - Ložišća,5a,13 m
Merak,Brač - Ložišća,5a,12 m
Dernek - po rampi,Brač - Ložišća,4c,13 m
Dernek,Brač - Ložišća,5b,13 m
?,Brač - Ložišća,5a,13 m
Zoa design,Brač - Ložišća,5c,17 m
Dva šišmiša,Brač - Ložišća,5a,20 m
Kamp kraj mlina,Brač - Ložišća,5b,20 m
